Registration number ,A,B,C,D,E,F,G,,,,
2211492,Bees,Bird,Butterflies,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211504,Bees,Bird,Bryophytes,Butterflies,Carabids,Isopods,Vascular_plants,,,,
2211509,Bees,Bryophytes,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211512,Bees,Bryophytes,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211513,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211530,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211534,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211539,Bees,Bird,Butterflies,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2211540,Bird,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211541,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211543,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2211546,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211548,Bees,Bird,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211550,Bird,Bryophytes,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211552,Bees,Bird,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211553,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2211554,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2211560,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211566,Bees,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211570,Bird,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211572,Bees,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2211582,Bees,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211590,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2211591,Bees,Bird,Bryophytes,Butterflies,Carabids,Isopods,Macromoths,,,,
2211599,Bees,Bird,Bryophytes,Butterflies,Carabids,Ladybirds,Grasshoppers_._Crickets,,,,
2211601,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211606,Bees,Bird,Bryophytes,Butterflies,Carabids,Macromoths,Vascular_plants,,,,
2211607,Bees,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Macromoths,,,,
2211611,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2211616,Bees,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2211621,Bees,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211625,Bird,Bryophytes,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211633,Bees,Bird,Butterflies,Carabids,Hoverflies,Macromoths,Vascular_plants,,,,
2211651,Bees,Bird,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211652,Bees,Bird,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2211656,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211658,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211659,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,,,,
2211664,Bees,Bird,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2211666,Bird,Bryophytes,Butterflies,Carabids,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211674,Bird,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211676,Bird,Bryophytes,Butterflies,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211679,Bird,Bryophytes,Butterflies,Carabids,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211680,Bees,Bird,Bryophytes,Carabids,Ladybirds,Macromoths,Vascular_plants,,,,
2211687,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2211688,Bird,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211693,Bird,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2211697,Bees,Bird,Butterflies,Carabids,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211699,Bees,Bryophytes,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211700,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,,,,
2211703,Bees,Bird,Bryophytes,Butterflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211708,Bees,Bird,Bryophytes,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2211712,Bees,Bird,Bryophytes,Butterflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211713,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211714,Bees,Bird,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211716,Bird,Butterflies,Carabids,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211721,Bees,Bird,Butterflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211724,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211726,Bird,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211728,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211743,Bees,Bird,Bryophytes,Carabids,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211744,Bryophytes,Butterflies,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211746,Bees,Bird,Butterflies,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211749,Bees,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Vascular_plants,,,,
2211753,Bees,Bryophytes,Butterflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211754,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211770,Bees,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211773,Bees,Bird,Bryophytes,Carabids,Hoverflies,Grasshoppers_._Crickets,Vascular_plants,,,,
2211880,Bird,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2211881,Bees,Bird,Bryophytes,Butterflies,Carabids,Grasshoppers_._Crickets,Vascular_plants,,,,
2211885,Bees,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211895,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2211898,Bird,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211900,Bees,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Vascular_plants,,,,
2211903,Bees,Butterflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2211911,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211916,Bees,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2211948,Bees,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2211959,Bird,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2211979,Bees,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,,,,
2212005,Bees,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2212018,Bryophytes,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212020,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Vascular_plants,,,,
2212022,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2212041,Bees,Bird,Bryophytes,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2212049,Bees,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2212051,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2212061,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2212063,Bees,Bird,Butterflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212064,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2212067,Bird,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2212071,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2212097,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2212098,Bees,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2212108,Bees,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212115,Bird,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212172,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212176,Bees,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2212177,Bees,Bird,Bryophytes,Butterflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212180,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2212183,Bees,Bryophytes,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212188,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,,,,
2212197,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2212201,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2212220,Bees,Bird,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2212221,Bees,Bird,Bryophytes,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,,,,
2212231,Bees,Bird,Carabids,Hoverflies,Isopods,Macromoths,Vascular_plants,,,,
2212241,Bees,Bird,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2212244,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2212246,Bird,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2213133,Bees,Bird,Butterflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2213138,Bird,Bryophytes,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213139,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2213140,Bees,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2213145,Bees,Bird,Bryophytes,Butterflies,Isopods,Macromoths,Vascular_plants,,,,
2213153,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,,,,
2213160,Bees,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213166,Bees,Butterflies,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2213169,Bees,Bird,Bryophytes,Butterflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2213173,Bees,Bird,Carabids,Hoverflies,Isopods,Ladybirds,Vascular_plants,,,,
2213177,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2213186,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213187,Bees,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,,,,
2213197,Bees,Bird,Bryophytes,Butterflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213201,Bees,Bird,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213204,Bird,Bryophytes,Butterflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213206,Bees,Bird,Bryophytes,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,,,,
2213212,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Vascular_plants,,,,
2213215,Bees,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2213218,Bees,Bird,Bryophytes,Carabids,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
